,overall_severity,X
389,3.0,"['sign', 'bewbs', 'sign', 'bewbs']"
390,3.0,"['ima', 'bite', 'da', 'tip', 'yo', 'dick', 'offf', 'n', 'splatter', 'itty', 'bitty', 'piece', 'ima', 'bite', 'da', 'tip', 'yo', 'dick', 'offf', 'n', 'splatter', 'itty', 'bitty', 'piece']"
391,3.0,"['babbyy', 'throw', 'babbyy', 'wan', 'na', 'throw']"
392,3.0,"['bxtchh', 'bxtchh']"
393,3.0,"['get', 'yo', 'knee', 'meh', 'get', 'meh', 'nevah']"
394,3.0,"['wtf', 'virgin', 'virgin', 'virgin', 'lie', 'lie']"
395,3.0,"['fuck', 'nigger', 'fuck', 'nigger', 'whoa', 'cool']"
396,3.0,"['u', 'like', 'sex']"
397,3.0,"['damn', 'sluttz', 'big', 'butt']"
398,3.0,"['dumb', 'fake', 'shes', 'dumb', 'told', 'fake', 'everyone', 'look', 'told', 'fake', 'like', 'im', 'fake', 'took', 'bettys', 'picture', 'shes', 'dumb']"
399,3.0,"['want', 'fight', 'find', 'someone', 'want', 'fight']"
400,3.0,"['name', 'calling', 'baby', 'baby']"
401,3.0,"['iz', 'yyo', 'cum', 'realie', 'gray', 'cum', 'realie', 'gray']"
402,3.0,"['would', 'ur', 'mom', 'ur', 'mom', 'ur', 'mom']"
403,3.0,"['cousin', 'whore', 'whore']"
404,3.0,"['got', 'buttfucked', 'pimp', 'slapped', 'ouch', 'got', 'buttfucked', 'slappppppppped', 'pimped', 'slapped']"
405,3.0,"['mr', 'big', 'forehead', 'dating', 'huh', 'mr', 'big', 'forehead', 'dating', 'huh', 'mr', 'big', 'forehead']"
406,3.0,"['wut', 'sz', 'r', 'u', 'tit', 'wut', 'sz', 'r', 'u', 'tit']"
407,3.0,"['ya', 'mom', 'behh', 'tearn', 'ya', 'asz', 'mother', 'better', 'tear', 'as', 'think', 'say', 'something', 'person', 'mother', 'yu', 'dam', 'lyee', 'mikey', 'yu', 'kno', 'ya', 'mom', 'behh', 'tearn', 'ya', 'asz', 'ya', 'mom', 'behh', 'tearn', 'ya', 'asz']"
408,3.0,"['biatch', 'answer', 'question', 'biatchh', 'biatchh']"
409,3.0,"['smashin', 'whit3', 'gurl', 'wit', 'nice', 'nipple', 'name']"
410,3.0,"['bumcrack', 'boobyhead', 'suk', 'willy', 'hello', 'bumcrack', 'boobyhead', 'suk', 'willy']"
411,3.0,"['yo', 'dick', 'small', 'y0', 'k', 'z', 'sm']"
412,3.0,"['u', 'sooo', 'nastyy', 'calling', 'person', 'nasty']"
413,3.0,"['h', 'cr', 'zy', 'n33d', 'yo', 'ck', 'sexual', 'harassment', 'n33d', 'yo', 'ck']"
414,3.0,"['damn', 'get', 'life', 'damn', 'get', 'life', 'get', 'life']"
415,3.0,"['fucking', 'say', 'name', 'fucking', 'say', 'name', 'fucking', 'say', 'name']"
416,3.0,"['fucking', 'pathetic', 'fucking', 'pathetic', 'fucking', 'pathetic']"
417,3.0,"['niggga', 'nigga']"
418,3.0,"['n', 'qq', 'p', 's3xy', 'b', 'n', 'y0', 'l', 'ip', 'fu', 'k', 'n', 'luh', 'yuh', 'n3qr0', 'n', 'qq', 'p', 's3xy', 'b', 'n', 'y0', 'l', 'ip', 'fu', 'k', 'n', 'luh', 'yuh', 'n3qr0']"
419,3.0,"['shut', 'arguing']"
420,3.0,"['face', 'nasty', 'face', 'nasty', 'face', 'nasty']"
421,3.0,"['dick', 'vagina', 'many', 'dick', 'fit', 'vagina']"
422,3.0,"['hate', 'http', 'www', 'ihateyounatalie', 'com', 'id', '2144858', 'im', 'falling', 'one', 'http', 'www', 'ihateyounatalie', 'com', 'id', '2144858']"
423,3.0,"['baby', 'jerk', 'jerk', 'baby', 'jerk']"
424,3.0,"['face', 'nasty', 'face', 'nasty', 'gross', 'face', 'nasty']"
425,3.0,"['give', 'woooddddddd', 'maybe', 'go', 'fall', 'couple', 'stair']"
426,3.0,"['slut', 'l', 'u']"
427,3.0,"['mad', 'ugly', 'true', 'talk', 'mad', 'ugly', 'mad', 'ugly']"
428,3.0,"['make', 'mad', 'tons', 'hate', 'group', 'myspace', 'make', 'mad', 'ton', 'hate', 'group', 'myspace']"
429,3.0,"['vvv', 'nutts', 'nutts', 'grow', 'take']"
430,3.0,"['get', 'life', 'ur', 'annoying', 'bitch', 'hop', 'damn', 'bitch', 'hop', 'um', 'da', 'gurl', 'dat', 'hang', 'wit', 'evelyn', 'name', 'katiana', 'cause', 'alwayz', 'hearing', 'u', 'talk', 'u', 'like', 'wtf', 'get', 'life', 'dnt', 'even', 'noe', 'herr', 'like', 'wtf', 'ur', 'annoying', 'damn', 'bitch', 'hop', 'byeeeeeeee']"
431,3.0,"['asshole', 'name', 'calling', 'asshole', 'asshole']"
432,3.0,"['get', 'fuck', 'urself', 'get', 'fuck', 'exactly', 'ur', 'hard', 'get', 'fuck', 'urself', 'get', 'fuck', 'urself', 'get', 'fuck']"
433,3.0,"['im', 'sur3', 'sh3', 'd0nt', 'want', 'y0u', 'gay']"
434,3.0,"['whore', 'name', 'calling', 'whore', 'whore']"
435,3.0,"['tld', 'shut', 'dwn', 'dnt', 'mess', 'wit', 'kuszinn', 'kus', 'play', 'play']"
436,3.0,"['lot', 'ppl', 'hate', 'u', 'lot', 'ppl', 'hate', 'u']"
437,3.0,"['idgaf', 'lame', 'bitch', 'lol', 'whyy', 'still', 'dickk', 'wtffff', 'wantt', 'lame', 'bitch', 'still', 'dick', 'lame', 'bitch', 'whyy', 'still', 'dickk', 'wtffff']"
438,3.0,"['stfu', 'stfu', 'q', 'bra']"
439,3.0,"['shit', 'talkin', 'bitch', 'shit', 'talkin', 'bitch', 'wow', 'reallyy', 'whyy', 'aree', 'yuu', 'tlking', 'thiis', 'shitt', 'thiiss', 'formsprings', 'ndd', 'nott', 'inn', 'myy', 'facee', 'whooss', 'thee', 'pus', 'shit', 'talking', 'bitch', 'tlkin', 'thiis', 'shitt', 'whooss', 'thee', 'pussy']"
440,3.0,"['finger', 'tight', 'as', 'finger', 'tight', 'as']"
441,3.0,"['hate', 'criticize', 'hate', 'taylor', 'used', 'b', 'firey', 'dyed', 'hair', 'find', 'something', 'better', 'criticize']"
442,3.0,"['idiot', 'cnt', 'spell', 'gay', 'gay']"
443,3.0,"['shit', 'face', 'decided', 'take', 'shit', 'face', 'shit', 'face']"
444,3.0,"['listen', 'asshole', 'asshole']"
445,3.0,"['f', 'ck', 'f', 'ck', 'next', 'week']"
446,3.0,"['ever', 'fucked', 'guy', 'ok', 'here', 'one', 'ever', 'fucked', 'guy']"
447,3.0,"['like', 'tight', 'pusssssayyyys', 'yep', 'sister', 'one', 'fucked', 'twice', 'last', 'night', 'yep', 'sister', 'one', 'fucked', 'twice', 'last', 'night', 'like', 'tight', 'pusssssayyyys', 'yep', 'sister', 'one', 'fucked', 'twice', 'last', 'night']"
448,3.0,"['penis', 'penis']"
449,3.0,"['lol', 'ur', 'pedophile', 'ur', 'old', 'step', 'dad', 'ur', 'pedophile']"
450,3.0,"['r', 'u', 'dirty', 'slut', 'dirty', 'slut', 'drty', 'slut']"
451,3.0,"['soo', 'ur', 'bi', 'bi']"
452,3.0,"['bout', 'fight', 'bout', 'fight']"
453,3.0,"['ball', 'ask', 'q', 'name', 'go', 'fuck', 'self', 'go', 'fuck', 'self']"
454,3.0,"['kick', 'as', 'kick', 'as']"
455,3.0,"['u', 'guy', 'need', 'gay', 'u', 'guy', 'need', 'gay', 'hopp', 'matt', 'dick', 'wtf', 'dnt', 'even', 'noe', 'matt', 'dum', 'hoe', 'hop', 'mah', 'dik', 'u', 'guy', 'need', 'gay', 'hopp', 'matt', 'dick']"
456,3.0,"['stfu', 'dumm', 'bitch', 'hopp', 'shitt', 'stfu', 'dumm', 'bitch', 'hopp', 'shitt']"
457,3.0,"['show', 'face', 'anonymous', 'wtf', 'make', 'sense', 'fake', 'ugly', 'bitch', 'make', 'sense', 'fake', 'ugly', 'bitch', 'fake', 'ugly', 'bitch']"
458,3.0,"['c', 'u', 'n', 'person', 'c', 'u', 'n', 'directed', 'person', 'conversation', 'though']"
459,3.0,"['stalking', 'im', 'sorry', 'whatnoww', 'please', 'please', 'stalking']"
460,3.0,"['asshole', 'asshole', 'asshole']"
461,3.0,"['suck', 'ball', 'comeback', 'suck', 'ball']"
462,3.0,"['ew', 'blow']"
463,3.0,"['mom', 'mom', 'mom']"
464,3.0,"['virgin', 'virgin']"
465,3.0,"['idgaf', 'get', 'dick', 'like', 'real', 'answer', 'hostile', 'sound', 'like', 'answerer', 'harrassed', 'thats', 'cool', 'idgaf', 'get', 'dick', 'like', 'real']"
466,3.0,"['iloveyourpenis', 'iloveyourpenis']"
467,3.0,"['raping', 'okay', 'raping', 'begin', '3', '2', '1']"
468,3.0,"['faking', 'fucking', 'bitch', 'kai', 'huh', 'fucking', 'bitch', 'two', 'poster', 'appear', 'type', 'argument']"
469,3.0,"['thing', 'say', 'sexy', 'lololol', 'hah', 'lie', 'lololol', 'hah', 'lie']"
470,3.0,"['whore', 'sleepin', 'around', 'whore', 'whore']"
471,3.0,"['fucking', 'transvestite', 'fucking', 'transvestite', 'man', 'im', 'transvestite', 'belive', 'thts', 'ur', 'mom']"
472,3.0,"['dirty', 'bitch', 'int', 'ya', 'dirty', 'bitch']"
473,3.0,"['hayley', 'stank', 'as', 'diected', 'someone', 'part', 'conversation', 'though', 'hayley', 'stank', 'as']"
474,3.0,"['called', 'fat', 'called', 'fat', 'called', 'fat']"
475,3.0,"['bj', 'hj', 'name']"
476,3.0,"['aujala', 'bigest', 'piece', 'shit', 'evaaa', 'aujala', 'bigest', 'piece', 'shit', 'evaaa']"
477,3.0,"['calling', 'someone', 'else', 'fake', 'generally', 'confronting', 'fuckkin', 'fake']"
478,3.0,"['bitchh', 'juss', 'hopp', 'shitt', 'mhkayy', 'cuhss', 'yes', 'youh', 'ask', 'hole', 'bunch', 'otha', 'ppl', 'bhee', 'frien', 'one', 'wan', 'na', 'bhee', 'friens', 'wihtt', 'pussy', 'as', 'hoe', 'tryy', 'else', 'tryy', 'mihh', 'dawq', 'come', 'mahh', 'mutha', 'fuhkinn', 'formsprinq', 'dare', 'bitchh', 'juss', 'hopp', 'shitt', 'mhkayy', 'pussy', 'as', 'hoe']"
479,3.0,"['fag', 'fag']"
480,3.0,"['whore', 'hey', 'whore', 'answerer', 'us', 'derogatory', 'term', 'look', 'like', 'term', 'endearment', 'particular', 'people']"
481,3.0,"['love', 'sister', 'aujalaaaaa', 'hahaha', 'p', 'yur', 'hater', 'justtt', 'funny', 'r', 'lmfao', 'lofl', 'rofl', 'ritee', 'got', 'life', 'mmsgin', 'ppl', 'anonomous', 'sayin', 'dumshit']"
482,3.0,"['break', 'dickk', 'break', 'dick']"
483,3.0,"['tell', 'story', 'something', 'like', 'lol', 'voice', 'annoyed', 'annoyingly', 'high', 'oh', 'tell', 'nearly', 'knock', 'lol', 'tell', 'story', 'something', 'like', 'lol']"
484,3.0,"['would', 'u', 'go', '8th', 'grader', 'named', 'collin', 'stewart', 'would', 'u', 'go', '8th', 'grader', 'named', 'collin', 'stewart']"
485,3.0,"['fuck', 'dick', 'fuck', 'people', 'dick']"
486,3.0,"['hangout', 'moises', 'today', 'saw', 'status', 'said', 'name', 'even', 'know', 'like', '7th', 'grade', 'cry', 'loud', '7th', 'grade', 'cry', 'loud']"
487,3.0,"['go', 'find', 'something', 'better', 'get', 'life', 'fakee']"
488,3.0,"['call', 'person', 'slut', 'reason', 'rate', 'higher', 'responder', 'played', 'along', 'yourr', 'suchh', 'sluuttt', 'yourr', 'suchh', 'sluuttt']"
489,3.0,"['im', 'guy', 'cant', 'fuck', 'get', 'girl', 'im', 'guy', 'cant', 'fuck', 'get', 'girl']"
490,3.0,"['ur', 'slut', 'dont', 'wan', 'na', 'talk', 'shit', 'ru', 'honest', 'kinda', 'think', 'ur', 'slut']"
491,3.0,"['jacked', 'last', 'time', 'jacked']"
492,3.0,"['stupid', 'ugly', 'stupid', 'ugly', 'thats', 'stupid', 'ugly']"
493,3.0,"['nasty', 'nasty']"
494,3.0,"['porch', 'monkey', 'fatherfucker', 'porch', 'monkey', 'fatherfucker', 'fatherfucker']"
495,3.0,"['gayyyyy', 'gayyyyy']"
496,3.0,"['think', 'every', 'guy', 'want', 'dont', 'hate', 'break', 'honey', 'think', 'every', 'guy', 'like', 'hate', 'break', 'honey']"
497,3.0,"['omg', 'seen', 'picture', 'u', 'emogasm', 'com', 'lol', 'seen', 'picture', 'u', 'emogasm', 'com']"
498,3.0,"['fuck', 'u', 'kno', 'u', 'want', 'fuck']"
499,3.0,"['as', 'fuck', 'face', 'two', 'people', 'seem', 'cordial', 'though', 'woped', 'as', 'fuck', 'face']"
500,3.0,"['called', 'answerer', 'fat', 'make', 'skinny', 'jean']"
501,3.0,"['calling', 'kasey', 'stupid', 'skank', 'dont', 'even', 'know', 'laura', 'going', 'start', 'shitr', 'wtf', 'yo', 'stfu', 'man', 'stay', 'calling', 'kasey', 'stupid', 'skank']"
502,3.0,"['dummy', 'stupid', 'cause', 'put', 'question', 'mark', 'saying', 'fat', 'dummy', 'dummy']"
503,3.0,"['ugly', 'hell', 'beware', 'ugly', 'hell', 'beware']"
504,3.0,"['name', 'calling', 'person', 'conceited', 'asking', 'constantly', 'brag', 'hit']"
505,3.0,"['accuses', 'lying', 'wtf', 'bitch']"
506,3.0,"['never', 'said', 'ur', 'ugly', 'learn', 'spell', 'learn', 'spell']"
507,3.0,"['fucking', 'gayyy', 'fucking', 'gayyy']"
508,3.0,"['bitch', 'gon', 'na', 'get', 'hit', 'bitch', 'gon', 'na', 'get', 'hit']"
509,3.0,"['real', 'dumb', 'fuck', 'real', 'dumb', 'fuck']"
510,3.0,"['ever', 'called', 'whore', 'name']"
511,3.0,"['fuck', 'fuck']"
512,3.0,"['pusssys', 'tryy', 'act', 'tough', 'pussy', 'calling', 'immature']"
513,3.0,"['tell', 'justin', 'boy', 'fuck', 'tell', 'justin', 'boy', 'fuck']"
514,3.0,"['asking', 'girl', 'bulimic', 'causing', 'become', 'really', 'upset', 'stfu']"
515,3.0,"['people', 'dissing', 'others', 'like', 'everyone', 'writes', 'insult', 'seriously', 'question', 'dissing', 'hahah', 'everyone', 'writes', 'insult', 'question', 'dissing']"
516,3.0,"['u', 'nerd', 'chilling', 'u', 'homo', '2500msg', 'jezz', 'u', 'nerd', 'lmao', 'p']"
517,3.0,"['nobody', 'like', 'body', 'like', 'yuuuuuuu', 'body', 'like', 'yuu']"
518,3.0,"['ballfuck', 'ballfuck', 'real', 'get', 'ballfuck']"
519,3.0,"['like', 'friend', 'like', 'friend', 'like', 'friend']"
520,3.0,"['slap', 'screen', 'ill', 'like', 'slap', 'screen', 'ill', 'like', 'slap', 'screen']"
521,3.0,"['pretty', 'sure', 'pathetic', 'saying', 'shit', 'anomalously', 'ball', 'say', 'face', 'fake', 'grow', 'pair', 'shut', 'hell', 'care', 'leave', 'tabi', 'alone', 'shut', 'hell', 'ball', 'fake', 'shut', 'hell']"
522,3.0,"['fuck', 'shady', 'bitch', 'fuck', 'shady', 'trick']"
523,3.0,"['stfu', 'stfu', 'stfu', 'stop', 'wasting', 'time', 'replying', 'tabi']"
524,3.0,"['fine', 'ur', 'geek', 'happy', 'geek']"
525,3.0,"['sugar', 'tit', 'hey', 'sugar', 'tit', 'hey', 'sugar', 'tit', 'wan', 'na', 'meet', 'night']"
526,3.0,"['questioner', 'insulting', 'poster', 'calling', 'face', 'nasty', 'face', 'nasty']"
527,3.0,"['saw', 'without', 'clothes', 'would', 'baite', 'master', 'saw', 'without', 'clothes', 'would', 'baite', 'master', 'eww', 'stfu', 'perv']"
528,3.0,"['get', 'fuckin', 'life', 'kill', 'yo', 'self', 'fool', 'get', 'fuckin', 'life', 'kill', 'yo', 'self', 'fool']"
529,3.0,"['douche', 'bag', 'douchebag']"
530,3.0,"['samantha', 'whore', 'samantha', 'whore', 'whore']"
531,3.0,"['ugly', 'know', 'ugly', 'ugly', 'hurtful', 'term', 'answer', 'implies', 'questioner', 'ugly']"
532,2.0,"['calling', 'person', 'dumbass', 'dumb', 'as', 'dumb', 'as']"
533,2.0,"['fuck', 'even', 'fuck']"
534,2.0,"['pick', 'better', 'friend', 'dat', 'ez', 'girl']"
535,2.0,"['midget', 'sloth', 'keep', 'pet', 'midget', 'sloth', 'decided', 'steal', 'ipod', 'pee', 'sleeping', 'would', 'woke']"
536,2.0,"['name', 'actual', 'jerk', 'actual', 'jerk']"
537,2.0,"['bitch', 'bitch', 'nigga', 'name', 'u', 'hating']"
538,2.0,"['wtf', 'dnt', 'mmsg', 'wit', 'tht', 'bullshit', 'dnt', 'mmsg', 'wit', 'tht', 'bullshit']"
539,2.0,"['background', 'stupid', 'tooo', 'like', 'face', 'background', 'stupid', 'tooo', 'like', 'face']"
540,2.0,"['fuck', 'fuck']"
541,2.0,"['going', 'rude', 'give', 'smart', 'as', 'answer', 'unfollow', 'going', 'rude', 'give', 'smart', 'as', 'answer']"
542,2.0,"['point', 'point']"
543,2.0,"['mind', 'business', 'mind', 'business', 'mind', 'business']"
544,2.0,"['raped', 'get', 'raped', 'math', 'class', 'yes']"
545,2.0,"['laura', 'pathetic', 'stick', '8th', 'grade', 'friend', 'sweetie', 'pathetic', 'stick', '8th', 'grade', 'friend', 'sweetie']"
546,2.0,"['talk', 'get', 'life', 'people', 'haha', 'dumb', 'bitch', 'swear', 'funny', 'dumb', 'bitch', 'get', 'life', 'people']"
547,2.0,"['pedophile', 'like', 'baby', 'girl', 'pedophile']"
548,2.0,"['yew', 'uqlyy', 'fukc', 'name']"
549,2.0,"['suck', 'suck', 'offensive', 'signal', 'slight', 'bullying']"
550,2.0,"['still', 'wan', 'na', 'f', 'ck', 'f', 'ck']"
551,2.0,"['think', 'virgin', 'virgin']"
552,2.0,"['ew', 'fuckkk', 'shes', 'ugly', 'fuuucckkk', 'ugly', 'fuuucckkk']"
553,2.0,"['c', 'cup', 'b', 'cup', 'c', 'cup', 'b', 'cup', 'stfu']"
554,2.0,"['fat', 'as', 'fat', 'as']"
555,2.0,"['virgin', 'virgin']"
556,2.0,"['eat', 'as', 'idea', 'mean', 'seem', 'friendly', 'eat', 'as']"
557,2.0,"['mad', 'gay', 'stick', 'juice', 'box', 'hoe', 'butch', 'stick', 'tht', 'ur', 'juice', 'box', 'hoe']"
558,2.0,"['put', 'tounge', 'deep', 'hey', 'hairy', 'as', 'would', 'love', 'put', 'tounge', 'deep', 'hey', 'hairy', 'as']"
559,2.0,"['eres', 'gay', 'eres', 'gay']"
560,2.0,"['write', 'like', '4th', 'grader', 'cool', 'write', 'like', '4th', 'grader', 'apos', 'worrying', 'vvv', 'apos', 'letting', 'know', 'cool', 'following', 'trying', 'hang', 'people', 'older']"
561,2.0,"['bullshit', 'bullshit']"
562,2.0,"['ugliest', 'top', '5', 'ugliest', 'people', 'ive', 'ever', 'seen']"
563,2.0,"['gon', 'na', 'call', 'someone', 'fake', 'least', 'speel', 'right', 'geez', 'speel', 'geez']"
564,2.0,"['annoying', 'go', 'something', 'else', 'rude', 'quit', 'fishing', 'compliment', 'saying', 'ugly', 'annoying']"
565,2.0,"['kid', 'creep', 'yourr', 'retarded', 'worse']"
566,2.0,"['lmao', 'dumb', 'lmao', 'dumb']"
567,2.0,"['wanking', 'finished', 'wanking']"
568,2.0,"['ihatesimoa', 'jks', 'hru', '3', 'hate']"
569,2.0,"['809', '9501', 'alexis', 'phone', 'number', 'ima', 'post', 'myspace', 'l', 'ittle', 'bitch', 'kill', 'little', 'bitch', 'haha', 'bettter', 'nott', 'ill', 'kill', '3']"
570,2.0,"['hoe', 'hoe', 'hoe']"
571,2.0,"['u', 'life', 'dumb', 'bitch', 'dumb', 'bitch']"
572,2.0,"['cookiegina', 'babehh', 'sexy', 'cookiegina']"
573,2.0,"['fuck', 'n']"
574,2.0,"['watch', 'porn', 'porn']"
575,2.0,"['nigglett', 'nigglett']"
576,2.0,"['bitch', 'bitch', 'bitch', 'lol', 'vvv']"
577,2.0,"['spit', 'swallow', 'spit', 'swallow']"
578,2.0,"['cap', 'slang', 'damn', 'girl', 'cover', 'ur', 'damn', 'as', 'booby']"
579,2.0,"['stupid', 'skankkk', 'stupid', 'skankkk']"
580,2.0,"['get', 'lazy', 'bum', 'lazy', 'bum']"
581,2.0,"['lame', 'fuck', 'lame', 'fuck', 'lame', 'fuck']"
